,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
5,0.053987550735473636,0.0013560470912181895,0.001468801498413086,0.0004959368836357012,0.001,0.001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.001}",-208.65109252929688,-213.95587158203125,-221.90432739257812,-225.0133819580078,-228.7514190673828,-219.65521850585938,7.349593388561336,5,6
6,0.0672309398651123,0.010946350685020135,0.0015589237213134766,0.000607666644347112,0.001,0.01,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.01}",-208.65109252929688,-213.95587158203125,-221.90432739257812,-225.01339721679688,-228.75144958496094,-219.6552276611328,7.349603167421516,7,6
7,0.07023801803588867,0.011058198018119128,0.001984977722167969,0.0007443765666814084,0.001,0.05,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.05}",-208.65115356445312,-213.95596313476562,-221.9043426513672,-225.01339721679688,-228.75144958496094,-219.65526123046874,7.349571625273999,8,6
8,0.06212406158447266,0.00857330467746732,0.0017553329467773437,0.0005184518788207853,0.01,0.0001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.0001}",-86.30940246582031,-85.8760757446289,-87.12673950195312,-87.7623519897461,-88.68663787841797,-87.15224151611328,1.0066016173664336,1,6
9,0.056858396530151366,0.0019951244358879204,0.0018944740295410156,0.00046190152501105505,0.01,0.001,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.001}",-86.30940246582031,-85.87608337402344,-87.12673950195312,-87.7623519897461,-88.6866455078125,-87.1522445678711,1.0066020088177419,2,6
10,0.05355925559997558,0.0018333500107658924,0.0015616416931152344,0.00044341446031751733,0.01,0.01,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.01}",-86.3094253540039,-85.8760986328125,-87.12676239013672,-87.76237487792969,-88.6866683959961,-87.15226593017579,1.0066039433163967,3,6
11,0.05465807914733887,0.001645517608326186,0.0014698028564453125,0.00045119576647643434,0.01,0.05,"{'optimizer__lr': 0.01, 'optimizer__weight_decay': 0.05}",-86.30951690673828,-85.87620544433594,-87.12686157226562,-87.7624740600586,-88.68675994873047,-87.15236358642578,1.0066009605100705,4,6
0,0.06278977394104004,0.01002517059928493,0.0014000415802001953,0.0004893624686020348,0.0001,0.0001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.0001}",-302.0122985839844,-311.5979919433594,-321.7259216308594,-327.8907165527344,-339.8155212402344,-320.6084899902344,13.039915156841715,9,7
1,0.05313124656677246,0.002074241016650929,0.0018201351165771484,0.00029519395241486195,0.0001,0.001,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.001}",-302.0122985839844,-311.5979919433594,-321.7259216308594,-327.8907165527344,-339.8155212402344,-320.6084899902344,13.039915156841715,9,7
2,0.05421910285949707,0.0009273424259772159,0.0015453815460205079,0.000511990526466584,0.0001,0.01,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.01}",-302.0122985839844,-311.5979919433594,-321.7259216308594,-327.8907165527344,-339.8155212402344,-320.6084899902344,13.039915156841715,9,7
3,0.07385091781616211,0.015245835543242648,0.003013467788696289,0.0021156548721582313,0.0001,0.05,"{'optimizer__lr': 0.0001, 'optimizer__weight_decay': 0.05}",-302.0122985839844,-311.5979919433594,-321.7259216308594,-327.8907165527344,-339.8155212402344,-320.6084899902344,13.039915156841715,9,7
4,0.06809048652648926,0.011900510805040999,0.002096271514892578,0.0001577956106143827,0.001,0.0001,"{'optimizer__lr': 0.001, 'optimizer__weight_decay': 0.0001}",-208.61846923828125,-214.07090759277344,-220.30142211914062,-223.4811248779297,-230.39700317382812,-219.37378540039063,7.523821054966718,5,7
